"Hot","Chaud"
"Hot!","Chaud!"
"Hot !","Chaud !"
"New","Nouveau"
"Categories","Catégories"
"Home Page","Page D'accueil"
"NEW ARRIVALS","Les Nouveaux Arrivants"
"Hot Sale","Vente Chaude"
"Bestseller","Best-seller"
"Featured Products","Produits Phares"
"Latest Products","Derniers Produits"
"Most Viewed","Les Plus Vues"
"New Products","Nouveaux Produits"
"Random Products","Produits Au Hasard"
"Sale Products","Vente Produits"

"WEEKLY FEATURED","Semaine En Vedette"
"Testimonial","Témoignage"
"Testimonials","Témoignages"
"Latest from our blog","Les dernières nouvelles de notre blog"
"Our Latest Tweets","Nos tweets récents"
