"Hot","Hot"
"Hot!","Hot !"
"Hot !","Hot !"
"New","New"
"Categories","Categories"
"Home Page","Home Page"
"NEW ARRIVALS","NEW ARRIVALS"
"Hot Sale","Hot Sale"
"Bestseller","Bestseller"
"Featured Products","Featured Products"
"Latest Products","Latest Products"
"Most Viewed","Most Viewed"
"New Products","New Products"
"Random Products","Random Products"
"Sale Products","Sale Products"

"WEEKLY FEATURED","WEEKLY FEATURED"
"Testimonial","Testimonial"
"Testimonials","Testimonials"
"Latest from our blog","Latest from our blog"
"Our Latest Tweets","Our Latest Tweets"
"was added to your shopping cart", "was added to your shopping cart"
"You have %s item(s) in your shopping cart.", "You have %s item(s) in your shopping cart."

